**Number of hours**,**28 hours**
**Number of meetings**,"**5 meetings, 5 Saturdays**"
**Form of meeting**,**on-line / hybrid**
**Schedule**,2023-03-18 09:00-16:00 +0100 (CET)<br>2023-03-25 09:00-16:00 +0100 (CET)<br>2023-04-01 09:00-16:00 +0200 (CEST)<br>2023-04-15 09:00-16:00 +0200 (CEST)<br>2023-04-22 09:00-16:00 +0200 (CEST)
