#,Topic,Trainer
1,Defensive Cyber Security,Askaniusz Ferens [:material-linkedin:](https://www.linkedin.com/in/asek-ferens)
2,Technical State Compliance Monitoring,Maciej Wróbel [:material-linkedin:](https://www.linkedin.com/in/maciejwrobel)
3,Vulnerability Assessment,"Łukasz Jankowski [:material-linkedin:](https://www.linkedin.com/in/lukasz-jan-jankowski),Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)"
4,Cloud Native Security,Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)
5,Secure Software Lifecycle,Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)
