#,Topic,Trainer
1,Light Side of Security,"Askaniusz Ferens [:material-linkedin:][askaniusz-ferens-in], Sławomir Staciwa [:material-linkedin:][slawomir-staciwa-in]"
2,"Brief introduction to CCERT & CTA responsibilities, Vulnerability Alerting Service, Responsible Disclosure Programme", Jędrzej Maksym
3,"Phishing Employee Programme, Incident Response, Domain Monitoring",Jędrzej Maksym
4,Vulnerability Assessment,Damian Krawczyk [:material-web:][damian-krawczyk-web]
5,Vulnerability Detection Plugins,Damian Krawczyk [:material-web:][damian-krawczyk-web]
6,Technical State Compliance Monitoring,Maciej Wróbel [:material-linkedin:][maciej-wrobel-in]
