#,Topic,Trainer
1,"Who attacks the organization and how (OWASP TOP 10, ASVS and protection methods) - part 1",Krzysztof Cudak
2,"Who attacks the organization and how (OWASP TOP 10, ASVS and protection methods) - part 2",Krzysztof Cudak
3,"Simulation and detection of APT attack in an organization - part 1","Mariusz Derela, Michał Terbert, Krzysztof Kuźnik [:material-linkedin:](https://linkedin.com/in/cybersec-ninja)"
4,"Simulation and detection of APT attack in an organization - part 2","Mariusz Derela, Michał Terbert, Krzysztof Kuźnik [:material-linkedin:](https://linkedin.com/in/cybersec-ninja)"
5,"Vulnerability types, classification and detection",Maciej Wróbel [:material-linkedin:](https://www.linkedin.com/in/maciejwrobel)
6,"Designing tests to verify configuration and detect vulnerabilities",Maciej Wróbel [:material-linkedin:](https://www.linkedin.com/in/maciejwrobel)
