#,Topic,Trainer
1,Cyber awareness,Sławomir Staciwa [:material-linkedin:](https://www.linkedin.com/in/sstaciwa)
2,Risk Management - basics,Askaniusz Ferens [:material-linkedin:](https://www.linkedin.com/in/asek-ferens)
3,Identity and Access Management,Jacek Kocyba [:material-linkedin:](https://www.linkedin.com/in/jacek-kocyba-49a5a2a0)
4,Cryptography - basics,Jacek Kocyba [:material-linkedin:](https://www.linkedin.com/in/jacek-kocyba-49a5a2a0)
5,Secure Configuration Monitoring,Maciej Wróbel [:material-linkedin:](https://www.linkedin.com/in/maciejwrobel)
6,Password vaults,Mateusz Kozieł [:material-linkedin:](https://www.linkedin.com/in/mateusz-koziel)
7,Vulnerability Assessment,"Łukasz Jankowski [:material-linkedin:](https://www.linkedin.com/in/lukasz-jan-jankowski),Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)"
8,Cloud Native Security,Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)
9,Offensive Cybersecurity,Jakub Plusczok [:material-linkedin:](https://www.linkedin.com/in/jakubplusczok)
